cnt,type,year,suffix
95,FollowEvent,2017,1201
42089,ForkEvent,2017,1011
38748,ForkEvent,2017,0411
25487,ForkEvent,2017,1104
21817,ForkEvent,2017,0212
35571,ForkEvent,2017,0712
41284,ForkEvent,2017,1207
38300,ForkEvent,2017,0725
29887,ForkEvent,2017,0403
36097,ForkEvent,2017,0929
39867,ForkEvent,2017,0927
19508,ForkEvent,2017,0114
25548,ForkEvent,2017,0501
14282,ForkEvent,2017,0107
37639,ForkEvent,2017,0823
20218,ForkEvent,2017,0610
19966,ForkEvent,2017,0121
38203,ForkEvent,2017,0913
40566,ForkEvent,2017,1013
35836,ForkEvent,2017,0510
38611,ForkEvent,2017,0330
21303,ForkEvent,2017,0826
41991,ForkEvent,2017,1016
35119,ForkEvent,2017,0310
37567,ForkEvent,2017,0216
38389,ForkEvent,2017,0302
34923,ForkEvent,2017,0220
33037,ForkEvent,2017,0531
20328,ForkEvent,2017,0708
32205,ForkEvent,2017,1002
40275,ForkEvent,2017,1130
39846,ForkEvent,2017,0920
39797,ForkEvent,2017,1204
28039,ForkEvent,2017,0131
18644,ForkEvent,2017,0128
38588,ForkEvent,2017,0314
44294,ForkEvent,2017,1026
35789,ForkEvent,2017,0317
23020,ForkEvent,2017,0311
33785,ForkEvent,2017,0804
35702,ForkEvent,2017,0915
42249,ForkEvent,2017,1023
41634,ForkEvent,2017,1114
33197,ForkEvent,2017,0512
33905,ForkEvent,2017,0119
36942,ForkEvent,2017,0524
37372,ForkEvent,2017,1220
37726,ForkEvent,2017,0808
37333,ForkEvent,2017,0607
34619,ForkEvent,2017,0714
20964,ForkEvent,2017,0805
33765,ForkEvent,2017,0519
21879,ForkEvent,2017,0819
38784,ForkEvent,2017,0906
39478,ForkEvent,2017,0720
32246,ForkEvent,2017,0120
31771,ForkEvent,2017,0704
38164,ForkEvent,2017,0918
34465,ForkEvent,2017,0525
39413,ForkEvent,2017,0321
42078,ForkEvent,2017,1206
19172,ForkEvent,2017,0618
35639,ForkEvent,2017,0614
41173,ForkEvent,2017,1121
22030,ForkEvent,2017,0729
38425,ForkEvent,2017,0222
33325,ForkEvent,2017,0210
36790,ForkEvent,2017,0313
21647,ForkEvent,2017,0219
36739,ForkEvent,2017,0726
29012,ForkEvent,2017,0106
36802,ForkEvent,2017,0306
25035,ForkEvent,2017,1105
22518,ForkEvent,2017,1007
41494,ForkEvent,2017,1115
32989,ForkEvent,2017,0505
38039,ForkEvent,2017,0719
20976,ForkEvent,2017,0812
32987,ForkEvent,2017,0111
37695,ForkEvent,2017,0905
35301,ForkEvent,2017,1215
36088,ForkEvent,2017,0824
39575,ForkEvent,2017,1122
36075,ForkEvent,2017,0511
37922,ForkEvent,2017,0728
34451,ForkEvent,2017,0213
39667,ForkEvent,2017,0410
23195,ForkEvent,2017,1008
37779,ForkEvent,2017,0301
23621,ForkEvent,2017,1217
36533,ForkEvent,2017,0817
23202,ForkEvent,2017,0923
31383,ForkEvent,2017,0904
32760,ForkEvent,2017,0630
34154,ForkEvent,2017,1227
25435,ForkEvent,2017,1118
20109,ForkEvent,2017,0429
35843,ForkEvent,2017,0522
23341,ForkEvent,2017,0204
39066,ForkEvent,2017,0914
22837,ForkEvent,2017,0122
36424,ForkEvent,2017,0613
23165,ForkEvent,2017,0722
30599,ForkEvent,2017,0116
38993,ForkEvent,2017,0221
34268,ForkEvent,2017,0601
23340,ForkEvent,2017,0304
21092,ForkEvent,2017,0715
21402,ForkEvent,2017,0723
27643,ForkEvent,2017,0401
40025,ForkEvent,2017,1020
20573,ForkEvent,2017,0520
37136,ForkEvent,2017,0830
38816,ForkEvent,2017,0323
22069,ForkEvent,2017,0716
27818,ForkEvent,2017,1014
37590,ForkEvent,2017,0911
38606,ForkEvent,2017,0228
39697,ForkEvent,2017,0718
34264,ForkEvent,2017,0814
34291,ForkEvent,2017,0619
38224,ForkEvent,2017,0412
35556,ForkEvent,2017,0227
21934,ForkEvent,2017,0415
21016,ForkEvent,2017,0730
32660,ForkEvent,2017,0526
35465,ForkEvent,2017,1123
37818,ForkEvent,2017,0925
38862,ForkEvent,2017,1113
36643,ForkEvent,2017,0427
33343,ForkEvent,2017,0825
26149,ForkEvent,2017,1022
37119,ForkEvent,2017,0207
38015,ForkEvent,2017,1201
36189,ForkEvent,2017,0517
27810,ForkEvent,2017,1029
21419,ForkEvent,2017,0902
20772,ForkEvent,2017,0514
33416,ForkEvent,2017,1003
38636,ForkEvent,2017,1120
32586,ForkEvent,2017,0821
38113,ForkEvent,2017,0523
38377,ForkEvent,2017,0327
34487,ForkEvent,2017,0629
35546,ForkEvent,2017,0217
38958,ForkEvent,2017,0307
31869,ForkEvent,2017,0404
35616,ForkEvent,2017,0807
38316,ForkEvent,2017,0509
21504,ForkEvent,2017,0423
38959,ForkEvent,2017,0504
21401,ForkEvent,2017,0513
24704,ForkEvent,2017,1112
36230,ForkEvent,2017,1208
23905,ForkEvent,2017,0916
41809,ForkEvent,2017,1107
35547,ForkEvent,2017,0502
37295,ForkEvent,2017,1221
40931,ForkEvent,2017,1102
42697,ForkEvent,2017,1128
37566,ForkEvent,2017,0907
40878,ForkEvent,2017,1027
37357,ForkEvent,2017,0803
38712,ForkEvent,2017,0316
28787,ForkEvent,2017,0530
23726,ForkEvent,2017,1216
43823,ForkEvent,2017,1017
34668,ForkEvent,2017,0721
36216,ForkEvent,2017,0713
36248,ForkEvent,2017,0706
39159,ForkEvent,2017,0328
24840,ForkEvent,2017,1209
39145,ForkEvent,2017,0329
22406,ForkEvent,2017,1001
34758,ForkEvent,2017,0508
34023,ForkEvent,2017,0224
27817,ForkEvent,2017,1028
30210,ForkEvent,2017,0125
35589,ForkEvent,2017,0831
33164,ForkEvent,2017,0609
24296,ForkEvent,2017,1119
33738,ForkEvent,2017,0626
38015,ForkEvent,2017,1218
30821,ForkEvent,2017,0103
29700,ForkEvent,2017,0202
26613,ForkEvent,2017,1021
17053,ForkEvent,2017,0129
21707,ForkEvent,2017,1223
37960,ForkEvent,2017,0208
40520,ForkEvent,2017,1116
44217,ForkEvent,2017,1018
36366,ForkEvent,2017,0816
33964,ForkEvent,2017,0206
37484,ForkEvent,2017,0405
44570,ForkEvent,2017,1030
35154,ForkEvent,2017,0407
39644,ForkEvent,2017,0516
